"","explanation","src","model","response","response.low","response.high","N","bootCI"
"1","B because A","simulation:pragmatic","independent",0.00334477477285073,0.00334477477285073,0.00334477477285073,1,"0.00334477477285073"
"2","B because A","simulation:pragmatic","cause",0.604414236149807,0.604414236149807,0.604414236149807,1,"0.604414236149807"
"3","B because A","simulation:pragmatic","reverseCause",0.175566905058369,0.175566905058369,0.175566905058369,1,"0.175566905058369"
"4","B because A","simulation:pragmatic","commonCause",0.216674084018973,0.216674084018973,0.216674084018973,1,"0.216674084018973"
"5","B because B","simulation:pragmatic","independent",0.32209107340105,0.32209107340105,0.32209107340105,1,"0.32209107340105"
"6","B because B","simulation:pragmatic","cause",0.185945157328111,0.185945157328111,0.185945157328111,1,"0.185945157328111"
"7","B because B","simulation:pragmatic","reverseCause",0.247604109020315,0.247604109020315,0.247604109020315,1,"0.247604109020315"
"8","B because B","simulation:pragmatic","commonCause",0.244359660250524,0.244359660250524,0.244359660250524,1,"0.244359660250524"
"9","B because !A","simulation:pragmatic","independent",0.00444827973197198,0.00444827973197198,0.00444827973197198,1,"0.00444827973197198"
"10","B because !A","simulation:pragmatic","cause",0.743494661920443,0.743494661920443,0.743494661920443,1,"0.743494661920443"
"11","B because !A","simulation:pragmatic","reverseCause",0.219090004135235,0.219090004135235,0.219090004135235,1,"0.219090004135235"
"12","B because !A","simulation:pragmatic","commonCause",0.0329670542123501,0.0329670542123501,0.0329670542123501,1,"0.0329670542123501"
"13","nothing","simulation:pragmatic","independent",0.322091073401049,0.322091073401049,0.322091073401049,1,"0.322091073401049"
"14","nothing","simulation:pragmatic","cause",0.185945157328111,0.185945157328111,0.185945157328111,1,"0.185945157328111"
"15","nothing","simulation:pragmatic","reverseCause",0.247604109020315,0.247604109020315,0.247604109020315,1,"0.247604109020315"
"16","nothing","simulation:pragmatic","commonCause",0.244359660250525,0.244359660250525,0.244359660250525,1,"0.244359660250525"
"17","B because A","simulation:literal","commonCause",0.323732107464274,0.323732107464274,0.323732107464274,1,"0.323732107464274"
"18","B because A","simulation:literal","reverseCause",0.225422630845242,0.225422630845242,0.225422630845242,1,"0.225422630845242"
"19","B because A","simulation:literal","cause",0.368190297047228,0.368190297047228,0.368190297047228,1,"0.368190297047228"
"20","B because A","simulation:literal","independent",0.0826549646432554,0.0826549646432554,0.0826549646432554,1,"0.0826549646432554"
"21","B because B","simulation:literal","commonCause",0.25,0.25,0.25,1,"0.25"
"22","B because B","simulation:literal","reverseCause",0.25,0.25,0.25,1,"0.25"
"23","B because B","simulation:literal","cause",0.25,0.25,0.25,1,"0.25"
"24","B because B","simulation:literal","independent",0.25,0.25,0.25,1,"0.25"
"25","B because !A","simulation:literal","commonCause",0.171011564435946,0.171011564435946,0.171011564435946,1,"0.171011564435946"
"26","B because !A","simulation:literal","reverseCause",0.276329478521351,0.276329478521351,0.276329478521351,1,"0.276329478521351"
"27","B because !A","simulation:literal","cause",0.45133814825154,0.45133814825154,0.45133814825154,1,"0.45133814825154"
"28","B because !A","simulation:literal","independent",0.101320808791162,0.101320808791162,0.101320808791162,1,"0.101320808791162"
"29","nothing","simulation:literal","commonCause",0.25,0.25,0.25,1,"0.25"
"30","nothing","simulation:literal","reverseCause",0.25,0.25,0.25,1,"0.25"
"31","nothing","simulation:literal","cause",0.25,0.25,0.25,1,"0.25"
"32","nothing","simulation:literal","independent",0.25,0.25,0.25,1,"0.25"
"33","nothing","data","independent",0.805,0.474958541544901,0.89913661029098,12,"0.474958541544901 0.89913661029098"
"34","nothing","data","cause",0.5075,0.377351688086756,0.627636698836863,12,"0.377351688086756 0.627636698836863"
"35","nothing","data","reverseCause",0.495,0.265496923203696,0.663915902611373,12,"0.265496923203696 0.663915902611373"
"36","nothing","data","commonCause",0.456666666666667,0.331292538153732,0.62849130416068,12,"0.331292538153732 0.62849130416068"
"37","B because !A","data","independent",0.405,-0.0718662722005696,1.03292653832499,6,"-0.0718662722005696 1.03292653832499"
"38","B because !A","data","cause",0.796666666666667,0.391374158043858,0.934314877987423,6,"0.391374158043858 0.934314877987423"
"39","B because !A","data","reverseCause",0.306666666666667,0.05373379358541,1.32224769870972,6,"0.05373379358541 1.32224769870972"
"40","B because !A","data","commonCause",0.276666666666667,-0.0463238392774447,0.51068578220166,6,"-0.0463238392774447 0.51068578220166"
"41","B because B","data","independent",0.621,0.152454753985844,0.852013505220529,10,"0.152454753985844 0.852013505220529"
"42","B because B","data","cause",0.375,0.193023990288472,0.662089192095856,10,"0.193023990288472 0.662089192095856"
"43","B because B","data","reverseCause",0.378,0.189214715212228,0.613464729935442,10,"0.189214715212228 0.613464729935442"
"44","B because B","data","commonCause",0.639,0.35530872885499,0.811446784267385,10,"0.35530872885499 0.811446784267385"
"45","B because A","data","independent",0.352727272727273,0.16856343089776,0.605422752272812,11,"0.16856343089776 0.605422752272812"
"46","B because A","data","cause",0.722727272727273,0.572635072846275,0.850645581618427,11,"0.572635072846275 0.850645581618427"
"47","B because A","data","reverseCause",0.377272727272727,0.184725501638321,0.56849999771023,11,"0.184725501638321 0.56849999771023"
"48","B because A","data","commonCause",0.279090909090909,0.167803693281759,0.529532406105568,11,"0.167803693281759 0.529532406105568"
